NC,NN,MC,MN,V,D1C,D1N,D2C,D2N,D3C,D3N
1,Brasil,2,%,2477.15,1,Brasil,199312,dezembro 1993,2265,IPCA - Variação acumulada em 12 meses
1,Brasil,2,%,2693.84,1,Brasil,199401,janeiro 1994,2265,IPCA - Variação acumulada em 12 meses
1,Brasil,2,%,3035.71,1,Brasil,199402,fevereiro 1994,2265,IPCA - Variação acumulada em 12 meses
1,Brasil,2,%,3417.39,1,Brasil,199403,março 1994,2265,IPCA - Variação acumulada em 12 meses
1,Brasil,2,%,3828.49,1,Brasil,199404,abril 1994,2265,IPCA - Variação acumulada em 12 meses
1,Brasil,2,%,4331.19,1,Brasil,199405,maio 1994,2265,IPCA - Variação acumulada em 12 meses
1,Brasil,2,%,4922.60,1,Brasil,199406,junho 1994,2265,IPCA - Variação acumulada em 12 meses
1,Brasil,2,%,4005.08,1,Brasil,199407,julho 1994,2265,IPCA - Variação acumulada em 12 meses
1,Brasil,2,%,3044.89,1,Brasil,199408,agosto 1994,2265,IPCA - Variação acumulada em 12 meses
1,Brasil,2,%,2253.15,1,Brasil,199409,setembro 1994,2265,IPCA - Variação acumulada em 12 meses
1,Brasil,2,%,1703.17,1,Brasil,199410,outubro 1994,2265,IPCA - Variação acumulada em 12 meses
1,Brasil,2,%,1267.54,1,Brasil,199411,novembro 1994,2265,IPCA - Variação acumulada em 12 meses
1,Brasil,2,%,916.46,1,Brasil,199412,dezembro 1994,2265,IPCA - Variação acumulada em 12 meses
1,Brasil,2,%,631.54,1,Brasil,199501,janeiro 1995,2265,IPCA - Variação acumulada em 12 meses
1,Brasil,2,%,426.83,1,Brasil,199502,fevereiro 1995,2265,IPCA - Variação acumulada em 12 meses
1,Brasil,2,%,274.78,1,Brasil,199503,março 1995,2265,IPCA - Variação acumulada em 12 meses
1,Brasil,2,%,169.05,1,Brasil,199504,abril 1995,2265,IPCA - Variação acumulada em 12 meses
1,Brasil,2,%,91.79,1,Brasil,199505,maio 1995,2265,IPCA - Variação acumulada em 12 meses
1,Brasil,2,%,33.03,1,Brasil,199506,junho 1995,2265,IPCA - Variação acumulada em 12 meses
1,Brasil,2,%,27.45,1,Brasil,199507,julho 1995,2265,IPCA - Variação acumulada em 12 meses
1,Brasil,2,%,26.36,1,Brasil,199508,agosto 1995,2265,IPCA - Variação acumulada em 12 meses
1,Brasil,2,%,25.69,1,Brasil,199509,setembro 1995,2265,IPCA - Variação acumulada em 12 meses
1,Brasil,2,%,24.21,1,Brasil,199510,outubro 1995,2265,IPCA - Variação acumulada em 12 meses
1,Brasil,2,%,22.59,1,Brasil,199511,novembro 1995,2265,IPCA - Variação acumulada em 12 meses
1,Brasil,2,%,22.41,1,Brasil,199512,dezembro 1995,2265,IPCA - Variação acumulada em 12 meses
1,Brasil,2,%,21.97,1,Brasil,199601,janeiro 1996,2265,IPCA - Variação acumulada em 12 meses
1,Brasil,2,%,21.99,1,Brasil,199602,fevereiro 1996,2265,IPCA - Variação acumulada em 12 meses
1,Brasil,2,%,20.55,1,Brasil,199603,março 1996,2265,IPCA - Variação acumulada em 12 meses
1,Brasil,2,%,19.17,1,Brasil,199604,abril 1996,2265,IPCA - Variação acumulada em 12 meses
1,Brasil,2,%,17.49,1,Brasil,199605,maio 1996,2265,IPCA - Variação acumulada em 12 meses
1,Brasil,2,%,16.26,1,Brasil,199606,junho 1996,2265,IPCA - Variação acumulada em 12 meses
1,Brasil,2,%,14.84,1,Brasil,199607,julho 1996,2265,IPCA - Variação acumulada em 12 meses
1,Brasil,2,%,14.21,1,Brasil,199608,agosto 1996,2265,IPCA - Variação acumulada em 12 meses
1,Brasil,2,%,13.26,1,Brasil,199609,setembro 1996,2265,IPCA - Variação acumulada em 12 meses
1,Brasil,2,%,12.02,1,Brasil,199610,outubro 1996,2265,IPCA - Variação acumulada em 12 meses
1,Brasil,2,%,10.75,1,Brasil,199611,novembro 1996,2265,IPCA - Variação acumulada em 12 meses
1,Brasil,2,%,9.56,1,Brasil,199612,dezembro 1996,2265,IPCA - Variação acumulada em 12 meses
1,Brasil,2,%,9.39,1,Brasil,199701,janeiro 1997,2265,IPCA - Variação acumulada em 12 meses
1,Brasil,2,%,8.82,1,Brasil,199702,fevereiro 1997,2265,IPCA - Variação acumulada em 12 meses
1,Brasil,2,%,8.99,1,Brasil,199703,março 1997,2265,IPCA - Variação acumulada em 12 meses
1,Brasil,2,%,8.58,1,Brasil,199704,abril 1997,2265,IPCA - Variação acumulada em 12 meses
1,Brasil,2,%,7.71,1,Brasil,199705,maio 1997,2265,IPCA - Variação acumulada em 12 meses
1,Brasil,2,%,7.02,1,Brasil,199706,junho 1997,2265,IPCA - Variação acumulada em 12 meses
1,Brasil,2,%,6.08,1,Brasil,199707,julho 1997,2265,IPCA - Variação acumulada em 12 meses
1,Brasil,2,%,5.59,1,Brasil,199708,agosto 1997,2265,IPCA - Variação acumulada em 12 meses
1,Brasil,2,%,5.50,1,Brasil,199709,setembro 1997,2265,IPCA - Variação acumulada em 12 meses
1,Brasil,2,%,5.42,1,Brasil,199710,outubro 1997,2265,IPCA - Variação acumulada em 12 meses
1,Brasil,2,%,5.27,1,Brasil,199711,novembro 1997,2265,IPCA - Variação acumulada em 12 meses
1,Brasil,2,%,5.22,1,Brasil,199712,dezembro 1997,2265,IPCA - Variação acumulada em 12 meses
1,Brasil,2,%,4.73,1,Brasil,199801,janeiro 1998,2265,IPCA - Variação acumulada em 12 meses
1,Brasil,2,%,4.69,1,Brasil,199802,fevereiro 1998,2265,IPCA - Variação acumulada em 12 meses
1,Brasil,2,%,4.52,1,Brasil,199803,março 1998,2265,IPCA - Variação acumulada em 12 meses
1,Brasil,2,%,3.85,1,Brasil,199804,abril 1998,2265,IPCA - Variação acumulada em 12 meses
1,Brasil,2,%,3.95,1,Brasil,199805,maio 1998,2265,IPCA - Variação acumulada em 12 meses
1,Brasil,2,%,3.41,1,Brasil,199806,junho 1998,2265,IPCA - Variação acumulada em 12 meses
1,Brasil,2,%,3.06,1,Brasil,199807,julho 1998,2265,IPCA - Variação acumulada em 12 meses
1,Brasil,2,%,2.55,1,Brasil,199808,agosto 1998,2265,IPCA - Variação acumulada em 12 meses
1,Brasil,2,%,2.27,1,Brasil,199809,setembro 1998,2265,IPCA - Variação acumulada em 12 meses
1,Brasil,2,%,2.05,1,Brasil,199810,outubro 1998,2265,IPCA - Variação acumulada em 12 meses
1,Brasil,2,%,1.76,1,Brasil,199811,novembro 1998,2265,IPCA - Variação acumulada em 12 meses
1,Brasil,2,%,1.65,1,Brasil,199812,dezembro 1998,2265,IPCA - Variação acumulada em 12 meses
1,Brasil,2,%,1.65,1,Brasil,199901,janeiro 1999,2265,IPCA - Variação acumulada em 12 meses
1,Brasil,2,%,2.24,1,Brasil,199902,fevereiro 1999,2265,IPCA - Variação acumulada em 12 meses
1,Brasil,2,%,3.02,1,Brasil,199903,março 1999,2265,IPCA - Variação acumulada em 12 meses
1,Brasil,2,%,3.35,1,Brasil,199904,abril 1999,2265,IPCA - Variação acumulada em 12 meses
1,Brasil,2,%,3.14,1,Brasil,199905,maio 1999,2265,IPCA - Variação acumulada em 12 meses
1,Brasil,2,%,3.32,1,Brasil,199906,junho 1999,2265,IPCA - Variação acumulada em 12 meses
1,Brasil,2,%,4.57,1,Brasil,199907,julho 1999,2265,IPCA - Variação acumulada em 12 meses
1,Brasil,2,%,5.69,1,Brasil,199908,agosto 1999,2265,IPCA - Variação acumulada em 12 meses
1,Brasil,2,%,6.25,1,Brasil,199909,setembro 1999,2265,IPCA - Variação acumulada em 12 meses
1,Brasil,2,%,7.50,1,Brasil,199910,outubro 1999,2265,IPCA - Variação acumulada em 12 meses
1,Brasil,2,%,8.65,1,Brasil,199911,novembro 1999,2265,IPCA - Variação acumulada em 12 meses
1,Brasil,2,%,8.94,1,Brasil,199912,dezembro 1999,2265,IPCA - Variação acumulada em 12 meses
1,Brasil,2,%,8.85,1,Brasil,200001,janeiro 2000,2265,IPCA - Variação acumulada em 12 meses
1,Brasil,2,%,7.86,1,Brasil,200002,fevereiro 2000,2265,IPCA - Variação acumulada em 12 meses
1,Brasil,2,%,6.92,1,Brasil,200003,março 2000,2265,IPCA - Variação acumulada em 12 meses
1,Brasil,2,%,6.77,1,Brasil,200004,abril 2000,2265,IPCA - Variação acumulada em 12 meses
1,Brasil,2,%,6.47,1,Brasil,200005,maio 2000,2265,IPCA - Variação acumulada em 12 meses
1,Brasil,2,%,6.51,1,Brasil,200006,junho 2000,2265,IPCA - Variação acumulada em 12 meses
1,Brasil,2,%,7.06,1,Brasil,200007,julho 2000,2265,IPCA - Variação acumulada em 12 meses
1,Brasil,2,%,7.86,1,Brasil,200008,agosto 2000,2265,IPCA - Variação acumulada em 12 meses
1,Brasil,2,%,7.77,1,Brasil,200009,setembro 2000,2265,IPCA - Variação acumulada em 12 meses
1,Brasil,2,%,6.65,1,Brasil,200010,outubro 2000,2265,IPCA - Variação acumulada em 12 meses
1,Brasil,2,%,5.99,1,Brasil,200011,novembro 2000,2265,IPCA - Variação acumulada em 12 meses
1,Brasil,2,%,5.97,1,Brasil,200012,dezembro 2000,2265,IPCA - Variação acumulada em 12 meses
1,Brasil,2,%,5.92,1,Brasil,200101,janeiro 2001,2265,IPCA - Variação acumulada em 12 meses
1,Brasil,2,%,6.27,1,Brasil,200102,fevereiro 2001,2265,IPCA - Variação acumulada em 12 meses
1,Brasil,2,%,6.44,1,Brasil,200103,março 2001,2265,IPCA - Variação acumulada em 12 meses
